Date,IEF,IGSB,IHYA.L,SPY,SPY4.L,CMOD.L,IYR,BTC-USD
2019-08-01,94.14332580566406,43.22844696044922,5.570000171661377,266.8939514160156,57.51499938964844,16.311250686645508,74.6606216430664,10399.6689453125
2019-08-02,94.33851623535156,43.179927825927734,5.539999961853027,264.88433837890625,55.630001068115234,16.102500915527344,74.99505615234375,10518.1748046875
2019-08-05,95.15333557128906,43.2446174621582,5.500999927520752,256.9184875488281,54.470001220703125,16.06999969482422,73.64897918701172,11805.6533203125
2019-08-06,95.30609130859375,43.31744384765625,5.507500171661377,260.5212707519531,54.18000030517578,16.041250228881836,74.42650604248047,11478.1689453125
2019-08-07,95.30609130859375,43.301246643066406,5.498499870300293,260.6752014160156,54.400001525878906,15.837499618530273,75.20404052734375,11941.96875
2019-08-08,95.31455993652344,43.28508377075195,5.547999858856201,265.7896423339844,55.72999954223633,16.110000610351562,76.46650695800781,11966.4072265625
2019-08-09,95.17029571533203,43.2769775390625,5.531000137329102,263.97918701171875,55.21500015258789,16.1875,76.4581527709961,11862.9365234375
2019-08-12,95.77288818359375,43.31744384765625,5.523499965667725,260.7657165527344,54.7599983215332,16.12125015258789,76.16552734375,11382.6162109375
2019-08-13,95.43341064453125,43.26080322265625,5.541999816894531,264.8210144042969,55.064998626708984,16.2137508392334,76.2491226196289,10895.830078125
2019-08-14,96.06999206542969,43.28508377075195,5.497000217437744,256.99090576171875,53.84000015258789,16.041250228881836,75.01176452636719,10051.7041015625
2019-08-15,96.68106842041016,43.39833068847656,5.501999855041504,257.6698303222656,53.43000030517578,16.063749313354492,75.83946990966797,10311.5458984375
2019-08-16,96.42646026611328,43.382144927978516,5.5279998779296875,261.4717102050781,54.29499816894531,16.021249771118164,76.49994659423828,10374.3388671875
2019-08-19,95.9681167602539,43.374053955078125,5.540500164031982,264.6218566894531,55.15999984741211,16.011249542236328,77.07685089111328,10916.0537109375
2019-08-20,96.39250946044922,43.46303939819336,5.545499801635742,262.59417724609375,54.849998474121094,15.988750457763672,76.49994659423828,10763.232421875
2019-08-21,96.13785552978516,43.4306640625,5.571499824523926,264.7304992675781,54.939998626708984,16.063749313354492,76.78422546386719,10138.0498046875
2019-08-22,95.9256820678711,43.41448974609375,5.580999851226807,264.6489562988281,54.790000915527344,15.991250038146973,77.21062469482422,10131.0556640625
2019-08-23,96.57075500488281,43.471126556396484,5.577499866485596,257.8509216308594,54.21500015258789,15.896249771118164,76.1488037109375,10407.96484375
2019-08-27,96.89329528808594,43.519676208496094,5.578999996185303,259.6793518066406,53.625,15.96875,76.41635131835938,10185.5
2019-08-28,96.92721557617188,43.53582763671875,5.596499919891357,261.50787353515625,53.869998931884766,16.146249771118164,76.59192657470703,9754.4228515625
2019-08-29,96.7405014038086,43.511566162109375,5.603499889373779,264.84814453125,54.65999984741211,16.2237491607666,77.20225524902344,9510.2001953125
2019-08-30,96.76596069335938,43.50349807739258,5.589000225067139,264.7304992675781,54.689998626708984,16.157499313354492,77.3025894165039,9598.173828125
2019-09-03,96.97846984863281,43.55537414550781,5.576499938964844,263.18255615234375,54.099998474121094,16.072500228881836,78.0550308227539,10623.5400390625
2019-09-04,97.13155364990234,43.59593200683594,5.585999965667725,266.1698913574219,54.625,16.337499618530273,78.66537475585938,10594.4931640625
2019-09-05,96.34939575195312,43.522953033447266,5.617000102996826,269.59149169921875,55.720001220703125,16.397499084472656,78.17208099365234,10575.533203125
2019-09-06,96.40888214111328,43.514835357666016,5.617499828338623,269.7998352050781,55.880001068115234,16.297500610351562,78.32259368896484,10353.302734375
2019-09-09,95.81378936767578,43.458065032958984,5.614500045776367,269.935546875,56.0,16.420000076293945,77.81258392333984,10334.974609375
2019-09-10,95.11661529541016,43.36886978149414,5.625,269.87213134765625,55.869998931884766,16.50374984741211,76.98487091064453,10115.9755859375
2019-09-11,95.02310943603516,43.344539642333984,5.627999782562256,271.7911682128906,56.6349983215332,16.462499618530273,77.06011962890625,10178.3720703125
2019-09-12,94.81056213378906,43.32831573486328,5.630000114440918,272.7325439453125,57.095001220703125,16.3799991607666,77.43635559082031,10410.126953125
2019-09-13,93.94338989257812,43.23910903930664,5.629000186920166,272.5516357421875,57.375,16.486249923706055,76.53340148925781,10360.546875
2019-09-16,94.35147857666016,43.31209182739258,5.638999938964844,271.709716796875,57.35499954223633,16.948749542236328,77.31929779052734,10276.7939453125
2019-09-17,94.59803009033203,43.35264587402344,5.638999938964844,272.3977355957031,57.06999969482422,16.747499465942383,78.16372680664062,10241.2724609375
2019-09-18,94.63203430175781,43.35264587402344,5.639999866485596,272.5606384277344,56.79499816894531,16.649999618530273,77.88784790039062,10198.248046875
2019-09-19,94.674560546875,43.36076354980469,5.641499996185303,272.5424499511719,57.23500061035156,16.643749237060547,78.26404571533203,10266.4150390625
2019-09-20,95.21861267089844,43.44996643066406,5.637499809265137,271.2547912597656,56.974998474121094,16.64875030517578,78.23060607910156,10181.6416015625
2019-09-23,95.35469055175781,43.47430419921875,5.634500026702881,271.1911926269531,56.72999954223633,16.676250457763672,78.34766387939453,9729.32421875
2019-09-24,95.83075714111328,43.514835357666016,5.633500099182129,269.0630798339844,56.529998779296875,16.645000457763672,78.2499771118164,8620.56640625
2019-09-25,95.20165252685547,43.458065032958984,5.612500190734863,270.6545715332031,56.38999938964844,16.521249771118164,78.30891418457031,8486.9931640625
2019-09-26,95.40569305419922,43.498619079589844,5.60699987411499,270.0907897949219,56.28499984741211,16.40250015258789,78.9488754272461,8118.9677734375
2019-09-27,95.54169464111328,43.498619079589844,5.61299991607666,268.63580322265625,56.470001220703125,16.428749084472656,78.46892547607422,8251.845703125
2019-09-30,95.61823272705078,43.522953033447266,5.6020002365112305,269.881591796875,56.20500183105469,16.3174991607666,78.76362609863281,8293.8681640625
2019-10-01,95.88304901123047,43.59935760498047,5.59499979019165,266.6714782714844,56.23500061035156,16.30500030517578,77.93001556396484,8343.2763671875
2019-10-02,96.2151107788086,43.640018463134766,5.574999809265137,261.9607238769531,54.54499816894531,16.228750228881836,77.62689971923828,8393.0419921875
2019-10-03,96.71744537353516,43.753814697265625,5.5625,264.1070556640625,54.595001220703125,16.261249542236328,78.38470458984375,8259.9921875
2019-10-04,96.90478515625,43.74568176269531,5.578499794006348,267.680908203125,55.025001525878906,16.331249237060547,78.80572509765625,8205.939453125
2019-10-07,96.58120727539062,43.705047607421875,5.5920000076293945,266.52587890625,55.39500045776367,16.33625030517578,78.58679962158203,8245.623046875
2019-10-08,96.78555297851562,43.72944641113281,5.567500114440918,262.38818359375,54.3650016784668,16.30500030517578,78.18263244628906,8228.783203125
2019-10-09,96.53865051269531,43.68878936767578,5.577499866485596,264.8799133300781,54.415000915527344,16.424999237060547,78.43524169921875,8595.740234375
2019-10-10,95.9341049194336,43.623748779296875,5.585999965667725,266.6714782714844,55.06999969482422,16.3487491607666,78.58679962158203,8586.4736328125
